fatal: Logger test fatal message
fatal: Logger test fatal message
fatal: Logger test fatal message
error: Logger test error message
warning: Logger test warning message
info: Logger test info message
http: GET in /login - 17:34:41
http: GET in /loggerTest - 17:34:52
fatal: Logger test fatal message
error: Logger test error message
warning: Logger test warning message
info: Logger test info message
http: Logger test http message
debug: Logger test debug message
http: GET in /login - 16:52:16
http: GET in /favicon.ico - 16:52:16
http: GET in /login - 16:53:40
http: GET in /login - 16:54:06
http: GET in /login - 17:13:59
http: GET in /forgot-password - 17:14:05
http: GET in /forgot-password - 17:15:10
http: GET in /forgot-password - 17:15:12
http: GET in /forgot-password - 17:15:29
http: GET in /forgot-password - 17:15:32
http: GET in /login - 17:28:35
http: GET in /forgot-password - 17:28:36
http: GET in /css/ - 17:28:37
http: GET in /forgot-password - 17:29:30
http: GET in /css/ - 17:29:30
http: GET in /forgot-password - 17:29:31
http: GET in /css/ - 17:29:31
http: GET in /css/ - 17:29:35
http: GET in /forgot-password - 17:32:16
http: GET in /css/ - 17:32:17
http: GET in /forgot-password - 17:32:18
http: GET in /css/ - 17:32:19
http: GET in /forgot-password - 17:32:22
http: GET in /css/ - 17:32:22
http: GET in /forgot-password - 17:32:35
http: GET in /css/ - 17:32:35
http: GET in /login - 17:32:45
http: GET in /css/ - 17:32:45
http: GET in /css/ - 17:32:50
http: GET in /css/ - 17:32:51
http: GET in /login - 17:32:53
http: GET in /css/ - 17:32:53
http: GET in /login - 17:35:10
http: GET in /forgot-password - 17:35:12
http: GET in /css/ - 17:35:12
http: GET in /forgot-password - 17:47:10
http: POST in /api/sessions/forgot-password - 17:47:25
http: GET in /register - 17:47:34
http: POST in /api/sessions/register - 17:48:20
http: GET in /login - 17:48:21
http: POST in /api/sessions/login - 17:48:36
http: GET in /products - 17:48:36
http: POST in /api/sessions/logout - 17:48:41
http: GET in /login - 17:48:41
http: GET in /login - 17:59:17
http: GET in /forgot-password - 17:59:20
http: POST in /api/sessions/forgot-password - 17:59:30
http: GET in /forgot-password - 18:02:25
http: POST in /api/sessions/forgot-password - 18:02:31
http: GET in /login - 18:25:58
http: GET in /forgot-password - 18:26:02
http: POST in /api/sessions/forgot-password - 18:26:06
http: GET in /login - 18:29:45
http: GET in /forgot-password - 18:29:50
http: POST in /api/sessions/forgot-password - 18:29:54
http: GET in /login - 15:12:34
http: GET in /favicon.ico - 15:12:34
http: GET in /forgot-password - 15:12:36
http: POST in /api/sessions/forgot-password - 15:12:40
http: GET in /login - 15:45:24
http: GET in /forgot-password - 15:45:27
http: POST in /api/sessions/forgot-password - 15:45:30
http: GET in /login - 21:29:20
http: GET in /favicon.ico - 21:29:20
http: GET in /forgot-password - 21:29:23
http: POST in /api/sessions/forgot-password - 21:29:30
http: GET in /reset-password/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI2NjdkZDAxNDdmOWZlZGM4OGRiNzRhYWUiLCJpYXQiOjE3MTk2MjA5NzAsImV4cCI6MTcxOTYyNDU3MH0.L069AJUuhPNLH1MfCprod5t4mXneuRg5obeopcFcfAA - 21:31:17
http: GET in /login - 21:33:21
http: GET in /forgot-password - 21:33:27
http: GET in /reset-password/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI2NjdkZDAxNDdmOWZlZGM4OGRiNzRhYWUiLCJpYXQiOjE3MTk2MjA5NzAsImV4cCI6MTcxOTYyNDU3MH0.L069AJUuhPNLH1MfCprod5t4mXneuRg5obeopcFcfAA - 21:39:41
http: GET in /css/ - 21:39:41
http: GET in /reset-password/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI2NjdkZDAxNDdmOWZlZGM4OGRiNzRhYWUiLCJpYXQiOjE3MTk2MjA5NzAsImV4cCI6MTcxOTYyNDU3MH0.L069AJUuhPNLH1MfCprod5t4mXneuRg5obeopcFcfAA - 21:41:19
http: POST in /api/sessions/reset-password - 21:41:39
http: GET in /login - 21:42:44
http: GET in /forgot-password - 21:42:46
http: POST in /api/sessions/forgot-password - 21:42:49
http: GET in /reset-password/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI2NjdkZDAxNDdmOWZlZGM4OGRiNzRhYWUiLCJpYXQiOjE3MTk2MjE3NjksImV4cCI6MTcxOTYyNTM2OX0.l3KPfgxM7EKfnFHqR3UZ2jaByerv9137L3EtrGOJhcM - 21:43:05
http: POST in /api/sessions/reset-password - 21:43:13
http: GET in /login - 22:00:01
http: GET in /forgot-password - 22:00:03
http: POST in /api/sessions/forgot-password - 22:00:06
